Row_ID,Order_ID,Order_date,Quarter,Order_date _month,Order_date _day,Order_date _year,Shipping_date,Quarter_SHIPPING,Time_Frame,Ship_Mode,Ship_Mode_Rank,Customer_ID,Customer_Name,Segment,Country,Region,State,City,Postal_Code,Category,Sub_Category,Product_Name,Product_ID,item_price,Quantity,Discount,Sales,Profit
1,CA-2016-152156,11/8/2016 0:00,Q4,11,8,2016,11/11/2016 0:00,Q4,3,Second Class,3,CG-12520,Claire Gute,Consumer,United States,South,Kentucky,Henderson,42420,Furniture,Bookcases,Bush Somerset Collection Bookcase,FUR-BO-10001798,130.98,2,0,261.96,41.9136
2,CA-2016-152156,11/8/2016 0:00,Q4,11,8,2016,11/11/2016 0:00,Q4,3,Second Class,3,CG-12520,Claire Gute,Consumer,United States,South,Kentucky,Henderson,42420,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454,243.98,3,0,731.94,219.582
3,CA-2016-138688,6/12/2016 0:00,Q2,6,12,2016,6/16/2016 0:00,Q2,4,Second Class,3,DV-13045,Darrin Van Huff,Corporate,United States,West,California,Los Angeles,90036,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,OFF-LA-10000240,7.31,2,0,14.62,6.8714
4,US-2015-108966,10/11/2015 0:00,Q4,10,11,2015,10/18/2015 0:00,Q4,7,Standard Class,4,SO-20335,Sean O'Donnell,Consumer,United States,South,Florida,Fort Lauderdale,33311,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577,348.21,5,0.45,957.5775,-383.031
5,US-2015-108966,10/11/2015 0:00,Q4,10,11,2015,10/18/2015 0:00,Q4,7,Standard Class,4,SO-20335,Sean O'Donnell,Consumer,United States,South,Florida,Fort Lauderdale,33311,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,OFF-ST-10000760,13.98,2,0.2,22.368,2.5164
6,CA-2014-115812,6/9/2014 0:00,Q2,6,9,2014,6/14/2014 0:00,Q2,5,Standard Class,4,BH-11710,Brosina Hoffman,Consumer,United States,West,California,Los Angeles,90032,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU-10001487,6.98,7,0,48.86,14.1694
7,CA-2014-115812,6/9/2014 0:00,Q2,6,9,2014,6/14/2014 0:00,Q2,5,Standard Class,4,BH-11710,Brosina Hoffman,Consumer,United States,West,California,Los Angeles,90032,Office Supplies,Art,Newell 322,OFF-AR-10002833,1.82,4,0,7.28,1.9656
8,CA-2014-115812,6/9/2014 0:00,Q2,6,9,2014,6/14/2014 0:00,Q2,5,Standard Class,4,BH-11710,Brosina Hoffman,Consumer,United States,West,California,Los Angeles,90032,Technology,Phones,Mitel 5320 IP Phone VoIP phone,TEC-PH-10002275,188.99,6,0.2,907.152,90.7152
9,CA-2014-115812,6/9/2014 0:00,Q2,6,9,2014,6/14/2014 0:00,Q2,5,Standard Class,4,BH-11710,Brosina Hoffman,Consumer,United States,West,California,Los Angeles,90032,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,OFF-BI-10003910,7.71,3,0.2,18.504,5.7825
10,CA-2014-115812,6/9/2014 0:00,Q2,6,9,2014,6/14/2014 0:00,Q2,5,Standard Class,4,BH-11710,Brosina Hoffman,Consumer,United States,West,California,Los Angeles,90032,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,OFF-AP-10002892,22.98,5,0,114.9,34.47
11,CA-2014-115812,6/9/2014 0:00,Q2,6,9,2014,6/14/2014 0:00,Q2,5,Standard Class,4,BH-11710,Brosina Hoffman,Consumer,United States,West,California,Los Angeles,90032,Furniture,Tables,Chromcraft Rectangular Conference Tables,FUR-TA-10001539,236.97,9,0.2,1706.184,85.3092
12,CA-2014-115812,6/9/2014 0:00,Q2,6,9,2014,6/14/2014 0:00,Q2,5,Standard Class,4,BH-11710,Brosina Hoffman,Consumer,United States,West,California,Los Angeles,90032,Technology,Phones,Konftel 250 Conference?phone?- Charcoal black,TEC-PH-10002033,284.82,4,0.2,911.424,68.3568
13,CA-2017-114412,4/15/2017 0:00,Q2,4,15,2017,4/20/2017 0:00,Q2,5,Standard Class,4,AA-10480,Andrew Allen,Consumer,United States,South,North Carolina,Concord,28027,Office Supplies,Paper,Xerox 1967,OFF-PA-10002365,6.48,3,0.2,15.552,5.4432
14,CA-2016-161389,12/5/2016 0:00,Q4,12,5,2016,12/10/2016 0:00,Q4,5,Standard Class,4,IM-15070,Irene Maddox,Consumer,United States,West,Washington,Seattle,98103,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,OFF-BI-10003656,169.99,3,0.2,407.976,132.5922
